obsid,proposal_id,proposal_pi,target_name,instrument_name,obs_title,jpegURL,t_max,t_obs_release,dataURL
264937956,5398,"Kartaltepe, Jeyhan",UNKNOWN,NIRCAM/IMAGE,POPPIES: The Public Observation Pure Parallel Infrared Emission-Line Survey,mast:JWST/product/jw05398-c1141_t000_nircam_clear-f150w_i2d.jpg,2025-05-13 05:06:45.821,2025-05-13 13:58:06.987,mast:JWST/product/jw05398-c1141_t000_nircam_clear-f150w_i2d.fits
264937953,5398,"Kartaltepe, Jeyhan",UNKNOWN,NIRCAM/IMAGE,POPPIES: The Public Observation Pure Parallel Infrared Emission-Line Survey,mast:JWST/product/jw05398-c1141_t000_nircam_clear-f444w_i2d.jpg,2025-05-13 05:20:43.260,2025-05-13 13:58:06.987,mast:JWST/product/jw05398-c1141_t000_nircam_clear-f444w_i2d.fits
264937955,5398,"Kartaltepe, Jeyhan",UNKNOWN,NIRCAM/IMAGE,POPPIES: The Public Observation Pure Parallel Infrared Emission-Line Survey,mast:JWST/product/jw05398-c1141_t000_nircam_clear-f115w_i2d.jpg,2025-05-13 05:20:43.260,2025-05-13 13:58:06.987,mast:JWST/product/jw05398-c1141_t000_nircam_clear-f115w_i2d.fits
264937954,5398,"Kartaltepe, Jeyhan",UNKNOWN,NIRCAM/IMAGE,POPPIES: The Public Observation Pure Parallel Infrared Emission-Line Survey,mast:JWST/product/jw05398-c1141_t000_nircam_clear-f200w_i2d.jpg,2025-05-13 04:52:48.318,2025-05-13 13:58:06.987,mast:JWST/product/jw05398-c1141_t000_nircam_clear-f200w_i2d.fits
264937916,5398,"Kartaltepe, Jeyhan",UNKNOWN,NIRCAM/IMAGE,POPPIES: The Public Observation Pure Parallel Infrared Emission-Line Survey,mast:JWST/product/jw05398-c1140_t000_nircam_clear-f150w_i2d.jpg,2025-05-13 04:08:56.576,2025-05-13 13:51:41.988,mast:JWST/product/jw05398-c1140_t000_nircam_clear-f150w_i2d.fits
264937918,5398,"Kartaltepe, Jeyhan",UNKNOWN,NIRCAM/IMAGE,POPPIES: The Public Observation Pure Parallel Infrared Emission-Line Survey,mast:JWST/product/jw05398-c1140_t000_nircam_clear-f200w_i2d.jpg,2025-05-13 03:46:12.993,2025-05-13 13:51:41.988,mast:JWST/product/jw05398-c1140_t000_nircam_clear-f200w_i2d.fits
264937915,5398,"Kartaltepe, Jeyhan",UNKNOWN,NIRCAM/IMAGE,POPPIES: The Public Observation Pure Parallel Infrared Emission-Line Survey,mast:JWST/product/jw05398-c1140_t000_nircam_clear-f115w_i2d.jpg,2025-05-13 04:31:50.847,2025-05-13 13:51:41.988,mast:JWST/product/jw05398-c1140_t000_nircam_clear-f115w_i2d.fits
264937898,5398,"Kartaltepe, Jeyhan",UNKNOWN,NIRCAM/IMAGE,POPPIES: The Public Observation Pure Parallel Infrared Emission-Line Survey,mast:JWST/product/jw05398-c1140_t000_nircam_clear-f444w_i2d.jpg,2025-05-13 04:31:50.911,2025-05-13 13:51:41.988,mast:JWST/product/jw05398-c1140_t000_nircam_clear-f444w_i2d.fits
264936998,5398,"Kartaltepe, Jeyhan",UNKNOWN,NIRCAM/IMAGE,POPPIES: The Public Observation Pure Parallel Infrared Emission-Line Survey,mast:JWST/product/jw05398-c1121_t000_nircam_clear-f115w_i2d.jpg,2025-05-12 19:06:28.960,2025-05-13 10:49:32.996,mast:JWST/product/jw05398-c1121_t000_nircam_clear-f115w_i2d.fits
264937000,5398,UNKNOWN,UNKNOWN,NIRCAM/IMAGE,POPPIES: The Public Observation Pure Parallel Infrared Emission-Line Survey,mast:JWST/product/jw05398-c1121_t000_nircam_clear-f444w_i2d.jpg,2025-05-12 19:06:29.024,2025-05-13 10:49:32.996,mast:JWST/product/jw05398-c1121_t000_nircam_clear-f444w_i2d.fits
264936999,5398,"Kartaltepe, Jeyhan",UNKNOWN,NIRCAM/IMAGE,POPPIES: The Public Observation Pure Parallel Infrared Emission-Line Survey,mast:JWST/product/jw05398-c1121_t000_nircam_clear-f150w_i2d.jpg,2025-05-12 18:43:13.185,2025-05-13 10:49:32.996,mast:JWST/product/jw05398-c1121_t000_nircam_clear-f150w_i2d.fits
264937001,5398,"Kartaltepe, Jeyhan",UNKNOWN,NIRCAM/IMAGE,POPPIES: The Public Observation Pure Parallel Infrared Emission-Line Survey,mast:JWST/product/jw05398-c1121_t000_nircam_clear-f200w_i2d.jpg,2025-05-12 18:21:01.859,2025-05-13 10:49:32.996,mast:JWST/product/jw05398-c1121_t000_nircam_clear-f200w_i2d.fits
214653531,4125,"Florian, Michael",SGAS1050,NIRCAM/IMAGE,Galaxies Under Construction: Resolved Scaling Relations and Stellar Mass Assembly as Revealed by Lensed Star-Forming Clumps at Cosmic Noon,mast:JWST/product/jw04125-o024_t060_nircam_clear-f182m_i2d.jpg,2024-05-12 19:52:19.018,2025-05-13 09:55:48.995,mast:JWST/product/jw04125-o024_t060_nircam_clear-f182m_i2d.fits
